contestant,season_name,season_number,original_tribe,original_tribe_color
23,Brett Clouser,,,
33,Mick Trimming,,,
36,Russell Hantz,,,
26,Natalie White,,,
"Jessica ""Sugar"" Kiper",Survivor: Heroes vs. Villains,,,
29,Stephenie LaGrossa,,,
50,Randy Bailey,,,
39,Cirie Fields,,,
45,Tom Westman,,,
29,Tyson Apostol,,,
32,James Clement,,,
33,Rob Mariano,,,
38,"Benjamin ""Coach"" Wade",,,
29,Courtney Yates,,,
25,"James ""J.T."" Thomas, Jr.",,,
25,Amanda Kimmel,,,
27,Candice Woodcock,,,
28,Danielle DiLorenzo,,,
45,Rupert Boneham,,,
35,Colby Donaldson,,,
38,Jerri Manthey,,,
36,Russell Hantz,,,
27,Parvati Shallow,,,
35,Sandra Diaz-Twine,,,
Wendy Jo DeSmidt-Kohlhoff,Survivor: Nicaragua,,,
30,Shannon Elkins,,,
67,Jimmy Johnson,,,
48,Jimmy Tarantino,,,
42,Tyrone Davis,,,
26,Kelly Bruno,,,
41,"Yvette ""Yve"" Rojas",,,
43,Jill Behm,,,
23,Alina Wilson,,,
48,Marty Piombo,,,
27,Brenda Lowe,,,
27,NaOnka Mixon,,,
20,Kelly Shinn,,,
24,"Ben ""Benry"" Henry",,,
56,Jane Bright,,,
63,Dan Lembo,,,
44,Holly Hoffman,,,
30,"Matthew ""Sash"" Lenahan",,,
24,Chase Rice,,,
21,"Jud ""Fabio"" Birza",,,
Francesca Hogi,Survivor: Redemption Island,,,
38,Russell Hantz,,,
46,Kristina Kell,,,
25,Krista Klumpp,,,
26,Stephanie Valencia,,,
36,Sarita White,,,
31,David Murphy,,,
50,Julie Wolfe,,,
51,Steve Wright,,,
45,Ralph Kiser,,,
29,Grant Mattos,,,
22,Matt Elrod,,,
31,Mike Chiesl,,,
21,Andrea Boehlke,,,
25,Ashley Underwood,,,
19,Natalie Tenerelli,,,
52,Phillip Sheppard,,,
34,Rob Mariano,,,
Semhar Tadesse,Survivor: South Pacific,,,
48,"Mark ""Papa Bear"" Caruso",,,
44,Stacey Powell,,,
27,Elyse Umemoto,,,
22,Mikayla Wingle,,,
39,Christine Shields-Markoski,,,
35,Jim Rice,,,
26,Keith Tollefson,,,
41,Dawn Meehan,,,
26,Whitney Duncan,,,
24,John Cochran,,,
35,Edna Ma,,,
19,Brandon Hantz,,,
51,Rick Nelson,,,
30,Ozzy Lusth,,,
26,Albert Destrade,,,
39,"Benjamin ""Coach"" Wade",,,
22,Sophie Clarke,,,
Kourtney Moon,Survivor: One World,,,
51,Nina Acosta,,,
33,Matt Quinlan,,,
28,Bill Posley,,,
41,Monica Culpepper,,,
21,Colton Cumbie,,,
37,Jonas Otsuji,,,
30,Michael Jefferson,,,
25,Jay Byars,,,
27,Leif Manson,,,
50,"Troy ""Troyzan"" Robertson",,,
22,Kat Edorsson,,,
64,"Greg ""Tarzan"" Smith",,,
25,Alicia Rosa,,,
29,Christina Cha,,,
26,Chelsea Meissner,,,
33,Sabrina Thompson,,,
29,Kim Spradlin,,,
Zane Knight,Survivor: Philippines,,,
28,"Roxanne ""Roxy"" Morris",,,
20,Angie Layton,,,
45,Russell Swan,,,
32,Dana Lambert,,,
28,Sarah Dawson,,,
22,Katie Hanson,,,
27,"Roberta ""R.C."" Saint-Amour",,,
44,Jeff Kent,,,
53,Artis Silvester,,,
24,"Peter ""Pete"" Yurkowski",,,
50,Jonathan Penner,,,
24,Carter Williams,,,
32,Abi-Maria Gomes,,,
25,Malcolm Freberg,,,
49,Lisa Whelchel,,,
50,Michael Skupin,,,
41,Denise Stapley,,,
Francesca Hogi,Survivor: Caramoan,,,
25,"Alexandra ""Allie"" Pohevitz",,,
23,Hope Driskill,,,
27,Shamar Thomas,,,
23,Laura Alexander,,,
21,Brandon Hantz,,,
38,Matt Bischoff,,,
21,Julia Landauer,,,
33,Corinne Kaplan,,,
44,Michael Snow,,,
54,Phillip Sheppard,,,
26,Malcolm Freberg,,,
30,Reynold Toepfer,,,
23,Andrea Boehlke,,,
30,Brenda Lowe,,,
27,Erik Reichenbach,,,
23,"Edward ""Eddie"" Fox",,,
41,Sherri Biethman,,,
